가수,점수
서연,0.0003354
이상민,0.0003354
김준환,0.0003354
ASTRO(아스트로),0.000187
MikkelRemeeSigvardt,0.000186
RockyMorris,0.0001525
이영훈,0.0001525
RufioSandilands,0.0001525
ThomasEriksen,0.0001525
EXO-CBX(첸백시),0
JordanCroucher,0
SteveManovski,0
CarolineAilin,0
김진환,0
자자,0
MariaMarcus,0
